2021-07-16 09:58:25.690 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8003 (http)
2021-07-16 09:58:25.698 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8003"]
2021-07-16 09:58:25.698 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-16 09:58:25.698 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-07-16 09:58:25.785 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-16 09:58:25.786 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1197 ms
2021-07-16 09:58:25.841 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-07-16 09:58:25.852 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-07-16 09:58:35.186 [main] INFO  com.atguigu.serviceVod.VodApplication - Starting VodApplication on 张帅 with PID 13296 (E:\myProject\Java\guli_parent\service\service-vod\target\classes started by 张帅 in E:\myProject\Java\guli_parent)
2021-07-16 09:58:35.190 [main] INFO  com.atguigu.serviceVod.VodApplication - The following profiles are active: dev
2021-07-16 09:58:35.939 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-07-16 09:58:35.941 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-07-16 09:58:35.965 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11ms. Found 0 Redis repository interfaces.
2021-07-16 09:58:36.289 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8003 (http)
2021-07-16 09:58:36.296 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8003"]
2021-07-16 09:58:36.297 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-16 09:58:36.297 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-07-16 09:58:36.381 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-16 09:58:36.381 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1152 ms
2021-07-16 09:58:36.658 [main] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-07-16 09:58:36.725 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-07-16 09:58:37.101 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8003"]
2021-07-16 09:58:37.117 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8003 (http) with context path ''
2021-07-16 09:58:37.118 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-07-16 09:58:37.129 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-07-16 09:58:37.155 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-07-16 09:58:37.250 [main] INFO  com.atguigu.serviceVod.VodApplication - Started VodApplication in 2.439 seconds (JVM running for 3.329)
2021-07-16 09:58:54.950 [main] INFO  com.atguigu.eduservice.EduApplication - Starting EduApplication on 张帅 with PID 11992 (E:\myProject\Java\guli_parent\service\service-edu\target\classes started by 张帅 in E:\myProject\Java\guli_parent)
2021-07-16 09:58:54.953 [main] INFO  com.atguigu.eduservice.EduApplication - The following profiles are active: dev
2021-07-16 09:58:55.723 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-07-16 09:58:55.725 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-07-16 09:58:55.752 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16ms. Found 0 Redis repository interfaces.
2021-07-16 09:58:56.089 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8003 (http)
2021-07-16 09:58:56.096 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8003"]
2021-07-16 09:58:56.096 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-07-16 09:58:56.097 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-07-16 09:58:56.185 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-16 09:58:56.185 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1189 ms
2021-07-16 09:58:56.241 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-07-16 09:58:56.252 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-07-16 10:01:56.535 [main] INFO  com.atguigu.eduservice.EduApplication - Starting EduApplication on 张帅 with PID 5604 (E:\myProject\Java\guli_parent\service\service-edu\target\classes started by 张帅 in E:\myProject\Java\guli_parent)
2021-07-16 10:01:56.535 [main] INFO  com.atguigu.eduservice.EduApplication - The following profiles are active: dev
2021-07-16 10:01:57.487 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-07-16 10:01:57.487 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-07-16 10:01:57.534 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19ms. Found 0 Redis repository interfaces.
2021-07-16 10:01:57.925 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8003 (http)
2021-07-16 10:01:57.941 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8003"]
2021-07-16 10:01:57.941 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
